ledger_idx,ledger_ref,ledger_amount,ledger_date,ledger_counterparty,best_bank_idx,features,category,route_to,detected_ts
164,OPENSA_0165,812494.03,2023-12-31 00:00:00,CTTP000035,1066,"{'name_sim': 0.0417, 'ref_sim': 0.3077, 'amt_diff': 158454.97, 'date_diff_days': 19721, 'composite_score': 0.1975}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:06.925850
169,OPENSA_0170,501391.28,2023-12-31 00:00:00,CTTP000043,452,"{'name_sim': 0.1132, 'ref_sim': 0.1818, 'amt_diff': 31555.5, 'date_diff_days': 19721, 'composite_score': 0.1796}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:07.161128
174,OPENSA_0175,1394835.08,2023-12-31 00:00:00,CTTP000077,213,"{'name_sim': 0.1622, 'ref_sim': 0.1818, 'amt_diff': 197885.08, 'date_diff_days': 19721, 'composite_score': 0.1977}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:07.291334
175,OPENSA_0176,1394479.25,2023-12-31 00:00:00,CTTP000077,579,"{'name_sim': 0.0656, 'ref_sim': 0.3333, 'amt_diff': 265420.25, 'date_diff_days': 19721, 'composite_score': 0.22}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:07.302114
194,OPENSA_0195,972894.0,2023-12-31 00:00:00,CTTP000098,475,"{'name_sim': 0.1132, 'ref_sim': 0.1818, 'amt_diff': 45380.25, 'date_diff_days': 19721, 'composite_score': 0.1804}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:07.909764
261,OPENSA_0263,892754.1,2023-12-31 00:00:00,CTTP000152,586,"{'name_sim': 0.0339, 'ref_sim': 0.3333, 'amt_diff': 108614.1, 'date_diff_days': 19721, 'composite_score': 0.2092}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:10.388865
262,OPENSA_0264,783296.05,2023-12-31 00:00:00,CTTP000152,1054,"{'name_sim': 0.0377, 'ref_sim': 0.3077, 'amt_diff': 143011.05, 'date_diff_days': 19721, 'composite_score': 0.1963}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:10.406643
344,OPENSA_0348,894086.08,2023-12-31 00:00:00,CTTP000256,15,"{'name_sim': 0.0938, 'ref_sim': 0.1818, 'amt_diff': 24336.92, 'date_diff_days': 19721, 'composite_score': 0.1726}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:13.702410
345,OPENSA_0349,783375.29,2023-12-31 00:00:00,CTTP000256,1054,"{'name_sim': 0.0377, 'ref_sim': 0.3077, 'amt_diff': 143090.29, 'date_diff_days': 19721, 'composite_score': 0.1963}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:13.718436
404,OPENSA_0408,688489.8,2023-12-31 00:00:00,CTTP000354,1054,"{'name_sim': 0.0377, 'ref_sim': 0.3077, 'amt_diff': 48204.8, 'date_diff_days': 19721, 'composite_score': 0.2019}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:16.274819
437,OPENSA_0441,695084.55,2023-12-31 00:00:00,CTTP000370,1054,"{'name_sim': 0.0377, 'ref_sim': 0.3077, 'amt_diff': 54799.55, 'date_diff_days': 19721, 'composite_score': 0.2015}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:17.429216
450,OPENSA_0454,848267.26,2023-12-31 00:00:00,CTTP000391,876,"{'name_sim': 0.0909, 'ref_sim': 0.1818, 'amt_diff': 46421.26, 'date_diff_days': 19721, 'composite_score': 0.17}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:17.973705
500,OPENSA_0504,1008644.42,2023-12-31 00:00:00,CTTP000062,213,"{'name_sim': 0.1622, 'ref_sim': 0.1818, 'amt_diff': 188305.58, 'date_diff_days': 19721, 'composite_score': 0.1955}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:20.145513
501,OPENSA_0505,818434.62,2023-12-31 00:00:00,CTTP000062,876,"{'name_sim': 0.0909, 'ref_sim': 0.1818, 'amt_diff': 16588.62, 'date_diff_days': 19721, 'composite_score': 0.1717}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:20.162172
505,OPENSA_0509,1029159.9,2023-12-31 00:00:00,CTTP000062,213,"{'name_sim': 0.1622, 'ref_sim': 0.1818, 'amt_diff': 167790.1, 'date_diff_days': 19721, 'composite_score': 0.1966}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:20.320652
506,OPENSA_0510,1029626.95,2023-12-31 00:00:00,CTTP000062,1001,"{'name_sim': 0.0667, 'ref_sim': 0.3333, 'amt_diff': 129629.05, 'date_diff_days': 19721, 'composite_score': 0.2237}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:20.337511
533,OPENSA_0539,1032365.66,2023-12-31 00:00:00,CTTP000032,213,"{'name_sim': 0.1622, 'ref_sim': 0.1818, 'amt_diff': 164584.34, 'date_diff_days': 19721, 'composite_score': 0.1968}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:21.361106
534,OPENSA_0540,1016988.39,2023-12-31 00:00:00,CTTP000032,213,"{'name_sim': 0.1622, 'ref_sim': 0.1818, 'amt_diff': 179961.61, 'date_diff_days': 19721, 'composite_score': 0.1959}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:21.377052
535,OPENSA_0541,894034.0,2023-12-31 00:00:00,CTTP000032,289,"{'name_sim': 0.1132, 'ref_sim': 0.1818, 'amt_diff': 79663.0, 'date_diff_days': 19721, 'composite_score': 0.1783}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:21.393050
538,OPENSA_0544,891977.3,2023-12-31 00:00:00,CTTP000032,875,"{'name_sim': 0.0909, 'ref_sim': 0.1818, 'amt_diff': 65240.7, 'date_diff_days': 19721, 'composite_score': 0.1691}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:21.536162
606,OPENLA_2498,888483.24,2023-12-31 00:00:00,CTTP000016,1217,"{'name_sim': 0.1053, 'ref_sim': 0.1818, 'amt_diff': 120551.24, 'date_diff_days': 19721, 'composite_score': 0.1724}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:25.053464
614,OPENLA_2506,848909.92,2023-12-31 00:00:00,CTTP000391,1217,"{'name_sim': 0.1053, 'ref_sim': 0.1818, 'amt_diff': 80977.92, 'date_diff_days': 19721, 'composite_score': 0.1744}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:25.372471
615,OPENLA_2507,1392366.29,2023-12-31 00:00:00,CTTP000077,46,"{'name_sim': 0.0513, 'ref_sim': 0.3333, 'amt_diff': 107633.71, 'date_diff_days': 19721, 'composite_score': 0.2192}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:25.398228
616,OPENLA_2508,971419.84,2023-12-31 00:00:00,CTTP000098,755,"{'name_sim': 0.1053, 'ref_sim': 0.1818, 'amt_diff': 153348.16, 'date_diff_days': 19721, 'composite_score': 0.1713}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:25.439539
619,OPENLA_2511,891401.37,2023-12-31 00:00:00,CTTP000152,1066,"{'name_sim': 0.0417, 'ref_sim': 0.3077, 'amt_diff': 79547.63, 'date_diff_days': 19721, 'composite_score': 0.2027}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:25.581572
625,OPENLA_2517,608019.7,2023-12-31 00:00:00,CTTP000002,354,"{'name_sim': 0.1132, 'ref_sim': 0.1818, 'amt_diff': 19537.82, 'date_diff_days': 19721, 'composite_score': 0.1812}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:25.846797
628,OPENLA_2520,890479.43,2023-12-31 00:00:00,CTTP000023,1217,"{'name_sim': 0.1053, 'ref_sim': 0.1818, 'amt_diff': 122547.43, 'date_diff_days': 19721, 'composite_score': 0.1723}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:25.922385
634,OPENLA_2526,1029939.61,2023-12-31 00:00:00,CTTP000062,976,"{'name_sim': 0.0392, 'ref_sim': 0.3333, 'amt_diff': 182554.39, 'date_diff_days': 19721, 'composite_score': 0.2088}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:26.180097
648,OPENLA_2543,995380.06,2023-12-31 00:00:00,CTTP000062,993,"{'name_sim': 0.0357, 'ref_sim': 0.3333, 'amt_diff': 57266.06, 'date_diff_days': 19721, 'composite_score': 0.2132}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:26.680356
650,OPENLA_2545,1028066.83,2023-12-31 00:00:00,CTTP000062,213,"{'name_sim': 0.1622, 'ref_sim': 0.1818, 'amt_diff': 168883.17, 'date_diff_days': 19721, 'composite_score': 0.1966}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:26.738002
662,OPENLA_2558,779282.21,2023-12-31 00:00:00,CTTP000256,1217,"{'name_sim': 0.1053, 'ref_sim': 0.1818, 'amt_diff': 11350.21, 'date_diff_days': 19721, 'composite_score': 0.1785}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:27.302138
667,OPENLA_2563,779203.38,2023-12-31 00:00:00,CTTP000152,1195,"{'name_sim': 0.0779, 'ref_sim': 0.3333, 'amt_diff': 149294.38, 'date_diff_days': 19721, 'composite_score': 0.2255}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:27.470104
672,OPENLA_2569,1060744.27,2023-12-31 00:00:00,CTTP000019,976,"{'name_sim': 0.0392, 'ref_sim': 0.3333, 'amt_diff': 151749.73, 'date_diff_days': 19721, 'composite_score': 0.2105}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:27.586557
690,OPENLA_2589,910522.35,2023-12-31 00:00:00,CTTP000023,15,"{'name_sim': 0.0938, 'ref_sim': 0.1818, 'amt_diff': 7900.65, 'date_diff_days': 19721, 'composite_score': 0.1736}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:28.195264
692,OPENLA_2591,943874.85,2023-12-31 00:00:00,CTTP000019,475,"{'name_sim': 0.1132, 'ref_sim': 0.1818, 'amt_diff': 74399.4, 'date_diff_days': 19721, 'composite_score': 0.1788}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:28.278233
697,OPENLA_2596,1269707.66,2023-12-31 00:00:00,CTTP000027,976,"{'name_sim': 0.0392, 'ref_sim': 0.3333, 'amt_diff': 57213.66, 'date_diff_days': 19721, 'composite_score': 0.2154}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:28.511852
698,OPENLA_2597,808248.8,2023-12-31 00:00:00,CTTP000035,1007,"{'name_sim': 0.0513, 'ref_sim': 0.3333, 'amt_diff': 36215.8, 'date_diff_days': 19721, 'composite_score': 0.2208}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:28.527854
708,OPENLA_2607,993851.84,2023-12-31 00:00:00,CTTP000019,755,"{'name_sim': 0.1053, 'ref_sim': 0.1818, 'amt_diff': 130916.16, 'date_diff_days': 19721, 'composite_score': 0.1726}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:28.852382
710,OPENLA_2609,789898.3,2023-12-31 00:00:00,CTTP000023,1019,"{'name_sim': 0.0351, 'ref_sim': 0.3333, 'amt_diff': 17821.7, 'date_diff_days': 19721, 'composite_score': 0.2147}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:28.927580
809,OPENLA_2708,698484.8,2023-12-31 00:00:00,CTTP000370,1217,"{'name_sim': 0.1053, 'ref_sim': 0.1818, 'amt_diff': 69447.2, 'date_diff_days': 19721, 'composite_score': 0.1742}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:32.796820
866,OPENLA_2765,1031772.32,2023-12-31 00:00:00,CTTP000032,976,"{'name_sim': 0.0392, 'ref_sim': 0.3333, 'amt_diff': 180721.68, 'date_diff_days': 19721, 'composite_score': 0.2089}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:34.695662
925,OPENLA_2824,1014464.38,2023-12-31 00:00:00,CTTP000032,1034,"{'name_sim': 0.0364, 'ref_sim': 0.3333, 'amt_diff': 30839.38, 'date_diff_days': 19721, 'composite_score': 0.2148}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:36.818615
941,OPENLA_2840,889362.73,2023-12-31 00:00:00,CTTP000032,1034,"{'name_sim': 0.0364, 'ref_sim': 0.3333, 'amt_diff': 94262.27, 'date_diff_days': 19721, 'composite_score': 0.2111}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:37.324816
942,OPENLA_2841,884054.41,2023-12-31 00:00:00,CTTP000032,1034,"{'name_sim': 0.0364, 'ref_sim': 0.3333, 'amt_diff': 99570.59, 'date_diff_days': 19721, 'composite_score': 0.2107}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:37.342681
991,OPENLA_2895,-888483.24,2023-12-31 00:00:00,CTTP000016,808,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 890470.24, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:39.365560
999,OPENLA_2903,-848909.92,2023-12-31 00:00:00,CTTP000391,803,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 850896.92, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:39.681943
1000,OPENLA_2904,-1392366.29,2023-12-31 00:00:00,CTTP000077,803,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 1394353.29, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:39.731310
1001,OPENLA_2905,-971419.84,2023-12-31 00:00:00,CTTP000098,803,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 973406.84, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:39.781923
1004,OPENLA_2908,-891401.37,2023-12-31 00:00:00,CTTP000152,803,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 893388.37, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:39.947307
1010,OPENLA_2914,-608019.7,2023-12-31 00:00:00,CTTP000002,797,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 610006.7, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:40.145610
1013,OPENLA_2917,-890479.43,2023-12-31 00:00:00,CTTP000023,1189,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 893134.43, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:40.305924
1019,OPENLA_2923,-1029939.61,2023-12-31 00:00:00,CTTP000062,805,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 1037886.61, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:40.580959
1033,OPENLA_2940,-995380.06,2023-12-31 00:00:00,CTTP000062,803,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 997367.06, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:41.304980
1035,OPENLA_2942,-1028066.83,2023-12-31 00:00:00,CTTP000062,805,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 1036013.83, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:41.420384
1047,OPENLA_2955,-779282.21,2023-12-31 00:00:00,CTTP000256,808,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 781269.21, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:42.087466
1052,OPENLA_2960,-779203.38,2023-12-31 00:00:00,CTTP000152,803,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 781190.38, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:42.303701
1057,OPENLA_2966,-1060744.27,2023-12-31 00:00:00,CTTP000019,809,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 1062731.27, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:42.620543
1075,OPENLA_2986,-910522.35,2023-12-31 00:00:00,CTTP000023,809,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 912509.35, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:43.468779
1077,OPENLA_2988,-943874.85,2023-12-31 00:00:00,CTTP000019,811,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 951821.85, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:43.534299
1082,OPENLA_2993,-1269707.66,2023-12-31 00:00:00,CTTP000027,806,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 1277654.66, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:43.685366
1083,OPENLA_2994,-808248.8,2023-12-31 00:00:00,CTTP000035,807,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 816195.8, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:43.741364
1093,OPENLA_3004,-993851.84,2023-12-31 00:00:00,CTTP000019,813,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 1001798.84, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:44.176270
1095,OPENLA_3006,-789898.3,2023-12-31 00:00:00,CTTP000023,813,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 797845.3, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:44.260211
1194,OPENLA_3105,-698484.8,2023-12-31 00:00:00,CTTP000370,965,"{'name_sim': 0.1455, 'ref_sim': 0.3333, 'amt_diff': 704300.8, 'date_diff_days': 19721, 'composite_score': 0.2155}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:48.738264
1251,OPENLA_3162,-1031772.32,2023-12-31 00:00:00,CTTP000032,795,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 1033759.32, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:51.676398
1310,OPENLA_3221,-1014464.38,2023-12-31 00:00:00,CTTP000032,814,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 1019816.38, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:54.606321
1326,OPENLA_3237,-889362.73,2023-12-31 00:00:00,CTTP000032,815,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 894714.73, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:55.388173
1327,OPENLA_3238,-884054.41,2023-12-31 00:00:00,CTTP000032,815,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 889406.41, 'date_diff_days': 19721, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:55.438041
1368,PBZ-24-00345,1368543.83,2024-01-01 00:00:00,CTTP000370,42,"{'name_sim': 0.0364, 'ref_sim': 0.3333, 'amt_diff': 234394.17, 'date_diff_days': 19722, 'composite_score': 0.2078}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:57.152848
1376,PBZ-24-00366,-1368543.83,2024-01-01 00:00:00,CTTP000370,803,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 1370530.83, 'date_diff_days': 19722, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:57.461720
1377,PBZ-24-00373,-1368543.83,2024-01-01 00:00:00,CTTP000370,803,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 1370530.83, 'date_diff_days': 19722, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:57.511803
1378,PBZ-24-00367,1368543.83,2024-01-01 00:00:00,CTTP000370,46,"{'name_sim': 0.0513, 'ref_sim': 0.3333, 'amt_diff': 131456.17, 'date_diff_days': 19722, 'composite_score': 0.2183}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:57.527742
1379,PBZ-24-00374,1368543.83,2024-01-01 00:00:00,CTTP000370,46,"{'name_sim': 0.0513, 'ref_sim': 0.3333, 'amt_diff': 131456.17, 'date_diff_days': 19722, 'composite_score': 0.2183}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:57.536348
1380,SZPBZ24+00352,840373.16,2024-01-01 00:00:00,CTTP001377,598,"{'name_sim': 0.0645, 'ref_sim': 0.2857, 'amt_diff': 83966.84, 'date_diff_days': 19722, 'composite_score': 0.2026}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:57.553038
1382,PBZ-24-00003,909746.6,2024-01-02 00:00:00,CTTP000023,993,"{'name_sim': 0.0357, 'ref_sim': 0.3333, 'amt_diff': 28367.4, 'date_diff_days': 19723, 'composite_score': 0.2145}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:57.593739
1383,PBZ-24-00004,1394664.15,2024-01-02 00:00:00,CTTP000077,888,"{'name_sim': 0.1212, 'ref_sim': 0.1818, 'amt_diff': 173912.85, 'date_diff_days': 19723, 'composite_score': 0.1801}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:57.620399
1384,PBZ-24-00005,784831.7,2024-01-02 00:00:00,CTTP000118,1217,"{'name_sim': 0.1053, 'ref_sim': 0.1818, 'amt_diff': 16899.7, 'date_diff_days': 19723, 'composite_score': 0.1781}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:57.636269
1397,PBZ-24-00019,688489.8,2024-01-02 00:00:00,CTTP000069,532,"{'name_sim': 0.1132, 'ref_sim': 0.1818, 'amt_diff': 2657.57, 'date_diff_days': 19723, 'composite_score': 0.1826}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:58.127733
1398,PBZ-24-00015,-784831.7,2024-01-02 00:00:00,CTTP000118,965,"{'name_sim': 0.1091, 'ref_sim': 0.3333, 'amt_diff': 790647.7, 'date_diff_days': 19723, 'composite_score': 0.1991}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:58.183764
1399,PBZ-24-00018,-688489.8,2024-01-02 00:00:00,CTTP000354,803,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 690476.8, 'date_diff_days': 19723, 'composite_score': 0.1909}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:58.239734
1406,PBZ-24-00017,784831.7,2024-01-02 00:00:00,CTTP000118,580,"{'name_sim': 0.0526, 'ref_sim': 0.3333, 'amt_diff': 12606.7, 'date_diff_days': 19723, 'composite_score': 0.2229}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:58.459921
1414,SZPBZ24+00356,784005.71,2024-01-02 00:00:00,CTTP000256,1195,"{'name_sim': 0.0779, 'ref_sim': 0.2857, 'amt_diff': 154096.71, 'date_diff_days': 19723, 'composite_score': 0.2038}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:58.760218
1415,SZPBZ24+00393,866804.2,2024-01-02 00:00:00,CTTP000005,993,"{'name_sim': 0.0357, 'ref_sim': 0.2857, 'amt_diff': 71309.8, 'date_diff_days': 19723, 'composite_score': 0.1905}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:58.777032
1436,PBZ-24-00228,887298.23,2024-01-03 00:00:00,CTTP000032,1217,"{'name_sim': 0.1053, 'ref_sim': 0.1818, 'amt_diff': 119366.23, 'date_diff_days': 19724, 'composite_score': 0.1725}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:59.452039
1450,SZPBZ24+00086,698660.02,2024-01-03 00:00:00,CTTP000032,1217,"{'name_sim': 0.1053, 'ref_sim': 0.1538, 'amt_diff': 69271.98, 'date_diff_days': 19724, 'composite_score': 0.1616}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:59.956428
1489,PBZ-24-00104,972839.25,2024-01-04 00:00:00,CTTP000098,475,"{'name_sim': 0.1132, 'ref_sim': 0.1818, 'amt_diff': 45435.0, 'date_diff_days': 19725, 'composite_score': 0.1804}",LOW_SCORE,Finance_Senior,2025-09-08T18:20:01.323880
1490,PBZ-24-00106,858888.32,2024-01-04 00:00:00,CTTP000003,1066,"{'name_sim': 0.0417, 'ref_sim': 0.3077, 'amt_diff': 112060.68, 'date_diff_days': 19725, 'composite_score': 0.2007}",LOW_SCORE,Finance_Senior,2025-09-08T18:20:01.340613
1491,PBZ-24-00119,761811.71,2024-01-04 00:00:00,CTTP000002,289,"{'name_sim': 0.1132, 'ref_sim': 0.1818, 'amt_diff': 52559.29, 'date_diff_days': 19725, 'composite_score': 0.1793}",LOW_SCORE,Finance_Senior,2025-09-08T18:20:01.357329
